"date	vehicle_category	maker	electric_vehicles_sold"
"1/1/2023	4-Wheelers	KIA Motors	35"
"1/1/2024	4-Wheelers	KIA Motors	29"
"2/1/2023	4-Wheelers	KIA Motors	22"
"2/1/2024	4-Wheelers	KIA Motors	17"
"3/1/2023	4-Wheelers	KIA Motors	17"
"3/1/2024	4-Wheelers	KIA Motors	26"
"4/1/2023	2-Wheelers	KINETIC GREEN	838"
"5/1/2023	2-Wheelers	KINETIC GREEN	886"
"6/1/2023	2-Wheelers	KINETIC GREEN	201"
"7/1/2023	2-Wheelers	KINETIC GREEN	229"
"8/1/2023	2-Wheelers	KINETIC GREEN	380"
"9/1/2023	2-Wheelers	KINETIC GREEN	231"
"10/1/2023	2-Wheelers	KINETIC GREEN	389"
"11/1/2023	2-Wheelers	KINETIC GREEN	422"
"12/1/2023	2-Wheelers	KINETIC GREEN	660"
"1/1/2024	2-Wheelers	KINETIC GREEN	810"
"2/1/2024	2-Wheelers	KINETIC GREEN	624"
"3/1/2024	2-Wheelers	KINETIC GREEN	3915"
"4/1/2021	4-Wheelers	Mahindra & Mahindra	171"
"4/1/2022	4-Wheelers	Mahindra & Mahindra	611"
"4/1/2023	4-Wheelers	Mahindra & Mahindra	4880"
"5/1/2021	4-Wheelers	Mahindra & Mahindra	78"
"5/1/2022	4-Wheelers	Mahindra & Mahindra	622"
"5/1/2023	4-Wheelers	Mahindra & Mahindra	3457"
"6/1/2021	4-Wheelers	Mahindra & Mahindra	106"
"6/1/2022	4-Wheelers	Mahindra & Mahindra	787"
"6/1/2023	4-Wheelers	Mahindra & Mahindra	2574"
"7/1/2021	4-Wheelers	Mahindra & Mahindra	171"
"7/1/2022	4-Wheelers	Mahindra & Mahindra	866"
"7/1/2023	4-Wheelers	Mahindra & Mahindra	2174"
"8/1/2021	4-Wheelers	Mahindra & Mahindra	204"
"8/1/2022	4-Wheelers	Mahindra & Mahindra	1085"
"8/1/2023	4-Wheelers	Mahindra & Mahindra	2013"
"9/1/2021	4-Wheelers	Mahindra & Mahindra	276"
"9/1/2022	4-Wheelers	Mahindra & Mahindra	1213"
"9/1/2023	4-Wheelers	Mahindra & Mahindra	1668"
"10/1/2021	4-Wheelers	Mahindra & Mahindra	369"
